"Step","go-20231026_131658 - train_loss","go-20231026_131658 - train_loss__MIN","go-20231026_131658 - train_loss__MAX","ruby-20231025_235507 - train_loss","ruby-20231025_235507 - train_loss__MIN","ruby-20231025_235507 - train_loss__MAX","javascript-20231025_172654 - train_loss","javascript-20231025_172654 - train_loss__MIN","javascript-20231025_172654 - train_loss__MAX","java-20231025_112721 - train_loss","java-20231025_112721 - train_loss__MIN","java-20231025_112721 - train_loss__MAX","php-20231016_001159 - train_loss","php-20231016_001159 - train_loss__MIN","php-20231016_001159 - train_loss__MAX","python-20231015_143112 - train_loss","python-20231015_143112 - train_loss__MIN","python-20231015_143112 - train_loss__MAX"
"0","12.0213","12.0213","12.0213","12.0213","12.0213","12.0213","12.0213","12.0213","12.0213","12.0213","12.0213","12.0213","12.1499","12.1499","12.1499","12.0713","12.0713","12.0713"
"10","11.9587","11.9587","11.9587","11.9587","11.9587","11.9587","11.9587","11.9587","11.9587","11.9587","11.9587","11.9587","12.037","12.037","12.037","11.9929","11.9929","11.9929"
"20","11.6288","11.6288","11.6288","11.6288","11.6288","11.6288","11.6288","11.6288","11.6288","11.6288","11.6288","11.6288","11.8105","11.8105","11.8105","11.7891","11.7891","11.7891"
"30","11.1231","11.1231","11.1231","11.1231","11.1231","11.1231","11.1231","11.1231","11.1231","11.1231","11.1231","11.1231","11.4444","11.4444","11.4444","11.4447","11.4447","11.4447"
"40","10.5352","10.5352","10.5352","10.5352","10.5352","10.5352","10.5352","10.5352","10.5352","10.5352","10.5352","10.5352","10.9832","10.9832","10.9832","11.0061","11.0061","11.0061"
"50","9.994","9.994","9.994","9.994","9.994","9.994","9.994","9.994","9.994","9.994","9.994","9.994","10.4844","10.4844","10.4844","10.5362","10.5362","10.5362"
"60","9.5473","9.5473","9.5473","9.5473","9.5473","9.5473","9.5473","9.5473","9.5473","9.5473","9.5473","9.5473","10.0186","10.0186","10.0186","10.0982","10.0982","10.0982"
"70","9.1824","9.1824","9.1824","9.1824","9.1824","9.1824","9.1824","9.1824","9.1824","9.1824","9.1824","9.1824","9.6133","9.6133","9.6133","9.7237","9.7237","9.7237"
"80","8.8771","8.8771","8.8771","8.8771","8.8771","8.8771","8.8772","8.8772","8.8772","8.8772","8.8772","8.8772","9.2709","9.2709","9.2709","9.4096","9.4096","9.4096"
"90","8.6205","8.6205","8.6205","8.6205","8.6205","8.6205","8.6207","8.6207","8.6207","8.6207","8.6207","8.6207","8.9758","8.9758","8.9758","9.136","9.136","9.136"
"100","8.4022","8.4022","8.4022","8.4019","8.4019","8.4019","8.4023","8.4023","8.4023","8.4021","8.4021","8.4021","8.7252","8.7252","8.7252","8.9026","8.9026","8.9026"
"110","8.2102","8.2102","8.2102","8.2099","8.2099","8.2099","8.2101","8.2101","8.2101","8.2099","8.2099","8.2099","8.501","8.501","8.501","8.7013","8.7013","8.7013"
"120","8.0383","8.0383","8.0383","8.0394","8.0394","8.0394","8.038","8.038","8.038","8.0377","8.0377","8.0377","8.3042","8.3042","8.3042","8.5211","8.5211","8.5211"
"130","7.8845","7.8845","7.8845","7.8871","7.8871","7.8871","7.8841","7.8841","7.8841","7.8838","7.8838","7.8838","8.1363","8.1363","8.1363","8.3611","8.3611","8.3611"
"140","7.7424","7.7424","7.7424","7.7464","7.7464","7.7464","7.742","7.742","7.742","7.7416","7.7416","7.7416","7.9812","7.9812","7.9812","8.2192","8.2192","8.2192"
"150","7.6187","7.6187","7.6187","7.6238","7.6238","7.6238","7.6182","7.6182","7.6182","7.6179","7.6179","7.6179","7.8431","7.8431","7.8431","8.0921","8.0921","8.0921"
"160","7.5019","7.5019","7.5019","7.508","7.508","7.508","7.5015","7.5015","7.5015","7.5011","7.5011","7.5011","7.7155","7.7155","7.7155","7.9746","7.9746","7.9746"
"170","7.3899","7.3899","7.3899","7.3967","7.3967","7.3967","7.3897","7.3897","7.3897","7.389","7.389","7.389","7.5975","7.5975","7.5975","7.8682","7.8682","7.8682"
"180","7.2911","7.2911","7.2911","7.2984","7.2984","7.2984","7.2911","7.2911","7.2911","7.2902","7.2902","7.2902","7.488","7.488","7.488","7.769","7.769","7.769"
"190","7.1965","7.1965","7.1965","7.2041","7.2041","7.2041","7.1967","7.1967","7.1967","7.1956","7.1956","7.1956","7.3871","7.3871","7.3871","7.6767","7.6767","7.6767"
"200","7.107","7.107","7.107","7.1147","7.1147","7.1147","7.1073","7.1073","7.1073","7.106","7.106","7.106","7.2914","7.2914","7.2914","7.5884","7.5884","7.5884"
"210","7.0201","7.0201","7.0201","7.0279","7.0279","7.0279","7.0205","7.0205","7.0205","7.0189","7.0189","7.0189","7.2011","7.2011","7.2011","7.5067","7.5067","7.5067"
"220","6.9424","6.9424","6.9424","6.9502","6.9502","6.9502","6.9429","6.9429","6.9429","6.9412","6.9412","6.9412","7.1164","7.1164","7.1164","7.4298","7.4298","7.4298"
"230","6.8681","6.8681","6.8681","6.8758","6.8758","6.8758","6.8686","6.8686","6.8686","6.8668","6.8668","6.8668","7.0357","7.0357","7.0357","7.3562","7.3562","7.3562"
"240","6.7945","6.7945","6.7945","6.8021","6.8021","6.8021","6.7952","6.7952","6.7952","6.7932","6.7932","6.7932","6.9597","6.9597","6.9597","7.2861","7.2861","7.2861"
"250","6.7262","6.7262","6.7262","6.7336","6.7336","6.7336","6.7269","6.7269","6.7269","6.7248","6.7248","6.7248","6.8857","6.8857","6.8857","7.2191","7.2191","7.2191"
"260","6.659","6.659","6.659","6.6663","6.6663","6.6663","6.6599","6.6599","6.6599","6.6576","6.6576","6.6576","6.8154","6.8154","6.8154","7.1559","7.1559","7.1559"
"270","6.5969","6.5969","6.5969","6.6042","6.6042","6.6042","6.5979","6.5979","6.5979","6.5956","6.5956","6.5956","6.7493","6.7493","6.7493","7.0956","7.0956","7.0956"
"280","6.5376","6.5376","6.5376","6.5448","6.5448","6.5448","6.5387","6.5387","6.5387","6.5363","6.5363","6.5363","6.6866","6.6866","6.6866","7.0361","7.0361","7.0361"
"290","6.4813","6.4813","6.4813","6.4885","6.4885","6.4885","6.4825","6.4825","6.4825","6.4801","6.4801","6.4801","6.626","6.626","6.626","6.9803","6.9803","6.9803"
"300","6.4266","6.4266","6.4266","6.4337","6.4337","6.4337","6.4278","6.4278","6.4278","6.4253","6.4253","6.4253","6.5688","6.5688","6.5688","6.9262","6.9262","6.9262"
"310","6.3733","6.3733","6.3733","6.3803","6.3803","6.3803","6.3745","6.3745","6.3745","6.3721","6.3721","6.3721","6.5121","6.5121","6.5121","6.8763","6.8763","6.8763"
"320","6.3237","6.3237","6.3237","6.3306","6.3306","6.3306","6.3249","6.3249","6.3249","6.3225","6.3225","6.3225","6.4578","6.4578","6.4578","6.826","6.826","6.826"
"330","6.2753","6.2753","6.2753","6.2822","6.2822","6.2822","6.2766","6.2766","6.2766","6.2742","6.2742","6.2742","6.4067","6.4067","6.4067","6.7779","6.7779","6.7779"
"340","6.228","6.228","6.228","6.2348","6.2348","6.2348","6.2294","6.2294","6.2294","6.227","6.227","6.227","6.3562","6.3562","6.3562","6.7322","6.7322","6.7322"
"350","6.1828","6.1828","6.1828","6.1895","6.1895","6.1895","6.1841","6.1841","6.1841","6.1818","6.1818","6.1818","6.3079","6.3079","6.3079","6.6881","6.6881","6.6881"
"360","6.1403","6.1403","6.1403","6.1469","6.1469","6.1469","6.1416","6.1416","6.1416","6.1394","6.1394","6.1394","6.2624","6.2624","6.2624","6.645","6.645","6.645"
"370","6.0984","6.0984","6.0984","6.1049","6.1049","6.1049","6.0998","6.0998","6.0998","6.0976","6.0976","6.0976","6.2166","6.2166","6.2166","6.6037","6.6037","6.6037"
"380","6.0585","6.0585","6.0585","6.0649","6.0649","6.0649","6.0599","6.0599","6.0599","6.0577","6.0577","6.0577","6.1729","6.1729","6.1729","6.564","6.564","6.564"
"390","6.0193","6.0193","6.0193","6.0256","6.0256","6.0256","6.0208","6.0208","6.0208","6.0185","6.0185","6.0185","6.1311","6.1311","6.1311","6.5259","6.5259","6.5259"
"400","5.9819","5.9819","5.9819","5.9882","5.9882","5.9882","5.9835","5.9835","5.9835","5.9812","5.9812","5.9812","6.0929","6.0929","6.0929","6.4877","6.4877","6.4877"
"410","5.9455","5.9455","5.9455","5.9517","5.9517","5.9517","5.9472","5.9472","5.9472","5.9449","5.9449","5.9449","6.0534","6.0534","6.0534","6.4521","6.4521","6.4521"
"420","5.9101","5.9101","5.9101","5.9162","5.9162","5.9162","5.9118","5.9118","5.9118","5.9095","5.9095","5.9095","6.0158","6.0158","6.0158","6.4168","6.4168","6.4168"
"430","5.875","5.875","5.875","5.881","5.881","5.881","5.8767","5.8767","5.8767","5.8745","5.8745","5.8745","5.9789","5.9789","5.9789","6.3834","6.3834","6.3834"
"440","5.8404","5.8404","5.8404","5.8464","5.8464","5.8464","5.8422","5.8422","5.8422","5.8399","5.8399","5.8399","5.9433","5.9433","5.9433","6.3498","6.3498","6.3498"
"450","5.8076","5.8076","5.8076","5.8135","5.8135","5.8135","5.8094","5.8094","5.8094","5.8072","5.8072","5.8072","5.9089","5.9089","5.9089","6.3179","6.3179","6.3179"
"460","5.7763","5.7763","5.7763","5.7821","5.7821","5.7821","5.7781","5.7781","5.7781","5.7759","5.7759","5.7759","5.8739","5.8739","5.8739","6.2868","6.2868","6.2868"
"470","5.7453","5.7453","5.7453","5.7511","5.7511","5.7511","5.7471","5.7471","5.7471","5.745","5.745","5.745","5.8411","5.8411","5.8411","6.2561","6.2561","6.2561"
"480","5.7144","5.7144","5.7144","5.7201","5.7201","5.7201","5.7162","5.7162","5.7162","5.7141","5.7141","5.7141","5.8096","5.8096","5.8096","6.2268","6.2268","6.2268"
"490","5.6847","5.6847","5.6847","5.6904","5.6904","5.6904","5.6866","5.6866","5.6866","5.6845","5.6845","5.6845","5.7789","5.7789","5.7789","6.1975","6.1975","6.1975"
"500","5.6562","5.6562","5.6562","5.6619","5.6619","5.6619","5.6581","5.6581","5.6581","5.656","5.656","5.656","5.7482","5.7482","5.7482","6.1697","6.1697","6.1697"
"510","5.6281","5.6281","5.6281","5.6338","5.6338","5.6338","5.63","5.63","5.63","5.628","5.628","5.628","5.7188","5.7188","5.7188","6.1427","6.1427","6.1427"
"520","5.6005","5.6005","5.6005","5.6061","5.6061","5.6061","5.6024","5.6024","5.6024","5.6004","5.6004","5.6004","5.6895","5.6895","5.6895","6.1162","6.1162","6.1162"
"530","5.5745","5.5745","5.5745","5.58","5.58","5.58","5.5763","5.5763","5.5763","5.5744","5.5744","5.5744","5.6617","5.6617","5.6617","6.0903","6.0903","6.0903"
"540","5.5484","5.5484","5.5484","5.5539","5.5539","5.5539","5.5502","5.5502","5.5502","5.5483","5.5483","5.5483","5.6334","5.6334","5.6334","6.064","6.064","6.064"
"550","5.5225","5.5225","5.5225","5.528","5.528","5.528","5.5244","5.5244","5.5244","5.5225","5.5225","5.5225","5.6066","5.6066","5.6066","6.0383","6.0383","6.0383"
"560","5.4969","5.4969","5.4969","5.5024","5.5024","5.5024","5.4988","5.4988","5.4988","5.4969","5.4969","5.4969","5.5803","5.5803","5.5803","6.0138","6.0138","6.0138"
"570","5.4716","5.4716","5.4716","5.477","5.477","5.477","5.4734","5.4734","5.4734","5.4716","5.4716","5.4716","5.5536","5.5536","5.5536","5.9897","5.9897","5.9897"
"580","5.4476","5.4476","5.4476","5.453","5.453","5.453","5.4495","5.4495","5.4495","5.4476","5.4476","5.4476","5.5276","5.5276","5.5276","5.9664","5.9664","5.9664"
"590","5.4244","5.4244","5.4244","5.4298","5.4298","5.4298","5.4263","5.4263","5.4263","5.4245","5.4245","5.4245","5.5026","5.5026","5.5026","5.9431","5.9431","5.9431"
"600","5.4014","5.4014","5.4014","5.4067","5.4067","5.4067","5.4032","5.4032","5.4032","5.4015","5.4015","5.4015","5.4783","5.4783","5.4783","5.9205","5.9205","5.9205"
