"Step","ruby-20231106_104248 - train_loss","ruby-20231106_104248 - train_loss__MIN","ruby-20231106_104248 - train_loss__MAX","php-20231102_160100 - train_loss","php-20231102_160100 - train_loss__MIN","php-20231102_160100 - train_loss__MAX","java-20231101_090754 - train_loss","java-20231101_090754 - train_loss__MIN","java-20231101_090754 - train_loss__MAX","go-20231031_120958 - train_loss","go-20231031_120958 - train_loss__MIN","go-20231031_120958 - train_loss__MAX","javascript-20231029_122314 - train_loss","javascript-20231029_122314 - train_loss__MIN","javascript-20231029_122314 - train_loss__MAX","python-20231028_204326 - train_loss","python-20231028_204326 - train_loss__MIN","python-20231028_204326 - train_loss__MAX"
"0","7.6319","7.6319","7.6319","8.3626","8.3626","8.3626","8.0972","8.0972","8.0972","8.6469","8.6469","8.6469","8.0683","8.0683","8.0683","7.7768","7.7768","7.7768"
"10","7.6264","7.6264","7.6264","8.1547","8.1547","8.1547","8.1066","8.1066","8.1066","8.5629","8.5629","8.5629","8.1027","8.1027","8.1027","7.7824","7.7824","7.7824"
"20","7.5576","7.5576","7.5576","8.0999","8.0999","8.0999","8.117","8.117","8.117","7.9999","7.9999","7.9999","7.9876","7.9876","7.9876","7.7227","7.7227","7.7227"
"30","7.4654","7.4654","7.4654","8.0192","8.0192","8.0192","8.0424","8.0424","8.0424","7.4969","7.4969","7.4969","7.8428","7.8428","7.8428","7.6194","7.6194","7.6194"
"40","7.348","7.348","7.348","7.9528","7.9528","7.9528","7.9628","7.9628","7.9628","7.1005","7.1005","7.1005","7.6739","7.6739","7.6739","7.4813","7.4813","7.4813"
"50","7.2254","7.2254","7.2254","7.8755","7.8755","7.8755","7.8656","7.8656","7.8656","6.7846","6.7846","6.7846","7.4766","7.4766","7.4766","7.3356","7.3356","7.3356"
"60","7.0963","7.0963","7.0963","7.7855","7.7855","7.7855","7.7435","7.7435","7.7435","6.5201","6.5201","6.5201","7.2921","7.2921","7.2921","7.18","7.18","7.18"
"70","6.9697","6.9697","6.9697","7.6733","7.6733","7.6733","7.6247","7.6247","7.6247","6.3002","6.3002","6.3002","7.125","7.125","7.125","7.0299","7.0299","7.0299"
"80","6.8542","6.8542","6.8542","7.564","7.564","7.564","7.4985","7.4985","7.4985","6.109","6.109","6.109","6.9635","6.9635","6.9635","6.8904","6.8904","6.8904"
"90","6.7481","6.7481","6.7481","7.4535","7.4535","7.4535","7.3792","7.3792","7.3792","5.9482","5.9482","5.9482","6.8133","6.8133","6.8133","6.7571","6.7571","6.7571"
"100","6.6536","6.6536","6.6536","7.3507","7.3507","7.3507","7.2596","7.2596","7.2596","5.8067","5.8067","5.8067","6.6708","6.6708","6.6708","6.6333","6.6333","6.6333"
"110","6.5606","6.5606","6.5606","7.2537","7.2537","7.2537","7.1453","7.1453","7.1453","5.6747","5.6747","5.6747","6.5443","6.5443","6.5443","6.5193","6.5193","6.5193"
"120","6.4807","6.4807","6.4807","7.1601","7.1601","7.1601","7.0368","7.0368","7.0368","5.5653","5.5653","5.5653","6.425","6.425","6.425","6.4173","6.4173","6.4173"
"130","6.4028","6.4028","6.4028","7.072","7.072","7.072","6.9411","6.9411","6.9411","5.4589","5.4589","5.4589","6.3154","6.3154","6.3154","6.3244","6.3244","6.3244"
"140","6.3302","6.3302","6.3302","6.9896","6.9896","6.9896","6.8501","6.8501","6.8501","5.3591","5.3591","5.3591","6.2207","6.2207","6.2207","6.2363","6.2363","6.2363"
"150","6.2607","6.2607","6.2607","6.9118","6.9118","6.9118","6.7626","6.7626","6.7626","5.2679","5.2679","5.2679","6.1281","6.1281","6.1281","6.1598","6.1598","6.1598"
"160","6.1999","6.1999","6.1999","6.8365","6.8365","6.8365","6.6867","6.6867","6.6867","5.1874","5.1874","5.1874","6.0483","6.0483","6.0483","6.0873","6.0873","6.0873"
"170","6.1429","6.1429","6.1429","6.7637","6.7637","6.7637","6.6151","6.6151","6.6151","5.1093","5.1093","5.1093","5.9712","5.9712","5.9712","6.0176","6.0176","6.0176"
"180","6.0851","6.0851","6.0851","6.6966","6.6966","6.6966","6.5469","6.5469","6.5469","5.04","5.04","5.04","5.9002","5.9002","5.9002","5.9524","5.9524","5.9524"
"190","6.0325","6.0325","6.0325","6.634","6.634","6.634","6.4816","6.4816","6.4816","4.9767","4.9767","4.9767","5.8333","5.8333","5.8333","5.8939","5.8939","5.8939"
"200","5.9825","5.9825","5.9825","6.5724","6.5724","6.5724","6.4207","6.4207","6.4207","4.9151","4.9151","4.9151","5.7724","5.7724","5.7724","5.8383","5.8383","5.8383"
